NACA6 - A PROGRAM TO COMPUTE NACA 6-SERIES AND 6A-SERIES AIRFOIL SECTIONS

SUMMARY OF INPUT DATA AND DEFAULTS

 &INPUT6 A=1.00000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,CHD=1.00000,CLI=0.000000,0.000000,0.000000,
 0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
 CMBNMR=1.00000,
 NAME=
 NACA 63-006                                                                     ,
 CAMBER=NONE,PROFILE=63 ,TOC=0.600000E-01 &END
-----------------------------------------------------



CAMBER DEFINITION
Uncambered airfoil
6-SERIES CAMBER LINE PARAMETERS
  #    CLI    A
  1  0.00000  0.00000
-----------------------------------------------------



ITERATION TO ACHIEVE SPECIFIED THICKNESS
 RAT( 1) =    1.00000
 RAT( 2) =    0.50147
 RAT( 3) =    0.98937
 RAT( 4) =    0.99990


 PEAK IS AT X/C =   0.355898
 MAXIMUM Y/C =   0.030000
 SLOPE CHANGES SIGN AT X/C, Y/C =   0.354903  0.030000
 X/C FIT OF ELLIPSE =   0.005747
 Y/C FIT OF ELLIPSE =   0.005382
 SLOPE FIT OF ELLIPSE =   0.440157
 RADIUS AT ORIGIN OF ELLIPSE THRU XT(11)/C, YT(11)/C =   0.002545
 RATIO OF T/C INPUT TO T/C COMPUTED =   0.999999
 CUMULATIVE SCALING OF EPS, PSI =   0.496088
 NUMBER OF ITERATIONS =          4
-----------------------------------------------------



 DIMENSIONS OF UNCAMBERED AIRFOIL, CHORD LENGTH=1


   X/C      Y/C     dY/dX        d2Y/dX2
 0.01050  0.00712  0.3113      -1.739E+01
 0.01075  0.00720  0.3070      -1.686E+01
 0.01100  0.00727  0.3028      -1.627E+01
 0.01125  0.00735  0.2988      -1.577E+01
 0.01150  0.00742  0.2950      -1.516E+01
 0.01175  0.00750  0.2912      -1.461E+01
 0.01200  0.00757  0.2877      -1.399E+01
 0.01225  0.00764  0.2842      -1.353E+01
 0.01250  0.00771  0.2810      -1.239E+01
 0.01500  0.00838  0.2536      -9.479E+00
 0.01750  0.00898  0.2330      -7.070E+00
 0.02000  0.00955  0.2170      -5.720E+00
 0.02250  0.01007  0.2044      -4.324E+00
 0.02500  0.01057  0.1945      -3.642E+00
 0.02750  0.01105  0.1858      -3.325E+00
 0.03000  0.01150  0.1784      -2.525E+00
 0.03250  0.01194  0.1721      -2.559E+00
 0.03500  0.01236  0.1658      -2.438E+00
 0.03750  0.01277  0.1605      -1.862E+00
 0.04000  0.01316  0.1558      -1.901E+00
 0.04250  0.01355  0.1511      -1.860E+00
 0.04500  0.01392  0.1464      -1.882E+00
 0.04750  0.01428  0.1420      -1.622E+00
 0.05000  0.01463  0.1383      -1.373E+00
 0.05250  0.01497  0.1345      -1.616E+00
 0.05500  0.01530  0.1307      -1.444E+00
 0.05750  0.01562  0.1272      -1.329E+00
 0.06000  0.01594  0.1240      -1.276E+00
 0.06250  0.01624  0.1209      -1.199E+00
 0.06500  0.01654  0.1180      -1.133E+00
 0.06750  0.01683  0.1152      -1.075E+00
 0.07000  0.01712  0.1126      -1.024E+00
 0.07250  0.01740  0.1101      -9.747E-01
 0.07500  0.01767  0.1077      -9.149E-01
 0.07750  0.01794  0.1054      -9.070E-01
 0.08000  0.01820  0.1032      -8.877E-01
 0.08250  0.01845  0.1012      -6.902E-01
 0.08500  0.01870  0.9952E-01  -6.771E-01
 0.08750  0.01895  0.9757E-01  -8.824E-01
 0.09000  0.01919  0.9544E-01  -8.199E-01
 0.09250  0.01943  0.9354E-01  -6.966E-01
 0.09500  0.01966  0.9193E-01  -5.924E-01
 0.09750  0.01989  0.9056E-01  -5.047E-01
 0.10000  0.02011  0.8904E-01  -7.148E-01
 0.11000  0.02097  0.8272E-01  -5.474E-01
 0.12000  0.02177  0.7741E-01  -5.165E-01
 0.13000  0.02252  0.7243E-01  -4.793E-01
 0.14000  0.02322  0.6793E-01  -4.195E-01
 0.15000  0.02388  0.6352E-01  -4.627E-01
 0.16000  0.02449  0.5962E-01  -3.170E-01
 0.17000  0.02507  0.5587E-01  -4.346E-01
 0.18000  0.02561  0.5192E-01  -3.535E-01
 0.19000  0.02611  0.4848E-01  -3.352E-01
 0.20000  0.02658  0.4498E-01  -3.644E-01
 0.21000  0.02701  0.4180E-01  -2.712E-01
 0.22000  0.02741  0.3846E-01  -3.986E-01
 0.23000  0.02778  0.3540E-01  -2.115E-01
 0.24000  0.02812  0.3252E-01  -3.659E-01
 0.25000  0.02843  0.2946E-01  -2.454E-01
 0.26000  0.02871  0.2679E-01  -2.885E-01
 0.27000  0.02897  0.2411E-01  -2.475E-01
 0.28000  0.02919  0.2138E-01  -2.989E-01
 0.29000  0.02939  0.1852E-01  -2.722E-01
 0.30000  0.02956  0.1567E-01  -2.985E-01
 0.31000  0.02971  0.1285E-01  -2.663E-01
 0.32000  0.02982  0.1020E-01  -2.640E-01
 0.33000  0.02991  0.7194E-02  -3.363E-01
 0.34000  0.02997  0.4386E-02  -2.253E-01
 0.35000  0.03000  0.1505E-02  -3.508E-01
 0.36000  0.03000 -0.1393E-02  -2.288E-01
 0.37000  0.02997 -0.4050E-02  -3.026E-01
 0.38000  0.02991 -0.7088E-02  -3.050E-01
 0.39000  0.02983 -0.9759E-02  -2.292E-01
 0.40000  0.02972 -0.1228E-01  -2.758E-01
 0.41000  0.02958 -0.1512E-01  -2.911E-01
 0.42000  0.02942 -0.1780E-01  -2.460E-01
 0.43000  0.02923 -0.2027E-01  -2.467E-01
 0.44000  0.02901 -0.2275E-01  -2.493E-01
 0.45000  0.02877 -0.2535E-01  -2.710E-01
 0.46000  0.02851 -0.2765E-01  -1.899E-01
 0.47000  0.02822 -0.2983E-01  -2.451E-01
 0.48000  0.02791 -0.3211E-01  -2.119E-01
 0.49000  0.02758 -0.3416E-01  -1.975E-01
 0.50000  0.02723 -0.3634E-01  -2.380E-01
 0.51000  0.02685 -0.3842E-01  -1.791E-01
 0.52000  0.02646 -0.4015E-01  -1.664E-01
 0.53000  0.02605 -0.4222E-01  -2.476E-01
 0.54000  0.02562 -0.4399E-01  -1.063E-01
 0.55000  0.02517 -0.4554E-01  -2.029E-01
 0.56000  0.02470 -0.4737E-01  -1.643E-01
 0.57000  0.02422 -0.4894E-01  -1.487E-01
 0.58000  0.02372 -0.5048E-01  -1.601E-01
 0.59000  0.02321 -0.5183E-01  -1.088E-01
 0.60000  0.02269 -0.5344E-01  -2.137E-01
 0.61000  0.02214 -0.5478E-01  -5.413E-02
 0.62000  0.02159 -0.5607E-01  -2.035E-01
 0.63000  0.02102 -0.5748E-01  -7.825E-02
 0.64000  0.02044 -0.5857E-01  -1.407E-01
 0.65000  0.01985 -0.5981E-01  -1.077E-01
 0.66000  0.01925 -0.6093E-01  -1.158E-01
 0.67000  0.01863 -0.6200E-01  -9.837E-02
 0.68000  0.01801 -0.6282E-01  -6.480E-02
 0.69000  0.01738 -0.6372E-01  -1.163E-01
 0.70000  0.01673 -0.6446E-01  -3.200E-02
 0.71000  0.01609 -0.6517E-01  -1.091E-01
 0.72000  0.01543 -0.6570E-01   3.904E-03
 0.73000  0.01477 -0.6625E-01  -1.154E-01
 0.74000  0.01411 -0.6673E-01   2.050E-02
 0.75000  0.01344 -0.6697E-01  -6.913E-02
 0.76000  0.01277 -0.6723E-01   1.754E-02
 0.77000  0.01210 -0.6723E-01  -1.848E-02
 0.78000  0.01142 -0.6723E-01   1.849E-02
 0.79000  0.01075 -0.6713E-01   3.154E-03
 0.80000  0.01008 -0.6688E-01   4.657E-02
 0.81000  0.00941 -0.6654E-01   2.061E-02
 0.82000  0.00875 -0.6592E-01   1.044E-01
 0.83000  0.00810 -0.6511E-01   5.639E-02
 0.84000  0.00745 -0.6430E-01   1.054E-01
 0.85000  0.00681 -0.6321E-01   1.141E-01
 0.86000  0.00618 -0.6208E-01   1.105E-01
 0.87000  0.00557 -0.6064E-01   1.785E-01
 0.88000  0.00497 -0.5918E-01   1.130E-01
 0.89000  0.00439 -0.5745E-01   2.325E-01
 0.90000  0.00382 -0.5541E-01   1.764E-01
 0.91000  0.00328 -0.5328E-01   2.496E-01
 0.92000  0.00276 -0.5086E-01   2.334E-01
 0.93000  0.00226 -0.4797E-01   3.450E-01
 0.94000  0.00180 -0.4456E-01   3.368E-01
 0.95000  0.00137 -0.4096E-01   3.828E-01
 0.96000  0.00098 -0.3675E-01   4.604E-01
 0.97000  0.00064 -0.3187E-01   5.142E-01
 0.98000  0.00035 -0.2628E-01   6.043E-01
 0.99000  0.00012 -0.1812E-01   1.028E+00
 1.00000  0.00000 -0.6050E-02   1.386E+00
-----------------------------------------------------



